Model,Demand (vph/lane),Penetration Rate (%),Seeds Tested,Equivalent Hourly Throughput (veh/h),Raw Arrivals (veh),Mean Speed (m/s),Mean Travel Time (s),Collision Rate (%),Avg Near-Collisions,Avg TTC Violations,Avg Hard Braking,Acceleration Var (m/s^2),Mean Abs Jerk (m/s^3),Wave Intensity (Var),Raw Interventions (Sum),Interventions Per CAV,Duty Cycle (%),Mean Decel Magnitude (m/s^2),Mean Duration (s),Success Rate (%),Avg Max Queue (veh),Absolute Max Queue (veh),Mean Delay (s),90th-Percentile Delay (s)
ALL-HDV,800,0,20,1748.7 ± 6.2,194.3 ± 0.7,26.31 ± 0.40,30.13 ± 0.48,0.00 ± 0.00,2.6 ± 0.9,6.4 ± 1.8,88.0 ± 12.1,1.1348 ± 0.0542,0.6003 ± 0.0446,21.98 ± 3.17,0 ± 0,0.0 ± 0.0,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,82.50 ± 2.33,0.35 ± 0.29,0.3 ± 0.3,6.50 ± 0.40,11.20 ± 0.85
ALL-HDV,1700,0,20,2935.8 ± 44.9,326.2 ± 5.0,11.28 ± 0.47,63.02 ± 2.51,0.00 ± 0.00,169.0 ± 16.7,373.9 ± 36.0,535.2 ± 24.3,1.1221 ± 0.0443,0.8856 ± 0.0526,21.64 ± 2.22,0 ± 0,0.0 ± 0.0,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,23.36 ± 2.54,21.50 ± 4.65,21.5 ± 4.6,37.46 ± 2.44,93.76 ± 8.87
DONGCHEN06 BASELINE,800,5,20,1739.2 ± 9.4,193.2 ± 1.0,24.04 ± 0.59,32.89 ± 0.90,0.00 ± 0.00,3.8 ± 1.7,11.6 ± 4.4,847.7 ± 42.1,1.5192 ± 0.0526,2.4813 ± 0.0931,23.31 ± 1.29,1643 ± 71,149.4 ± 6.5,33.44 ± 0.51,2.27 ± 0.01,0.15 ± 0.00,81.25 ± 3.35,0.21 ± 0.07,3.0 ± 0.5,8.62 ± 0.80,16.82 ± 2.34
DONGCHEN06 BASELINE,800,10,20,1718.5 ± 12.4,190.9 ± 1.4,22.23 ± 0.56,35.59 ± 1.11,0.00 ± 0.00,6.3 ± 4.4,16.9 ± 9.7,1613.8 ± 89.3,1.8031 ± 0.0808,4.0036 ± 0.1639,23.58 ± 2.13,3303 ± 149,150.2 ± 6.8,33.89 ± 0.45,2.26 ± 0.01,0.16 ± 0.00,77.34 ± 3.66,0.25 ± 0.09,3.3 ± 0.5,10.76 ± 1.04,20.89 ± 2.70
DONGCHEN06 BASELINE,800,20,20,1691.1 ± 17.3,187.9 ± 1.9,19.53 ± 0.72,40.60 ± 1.84,0.00 ± 0.00,8.5 ± 7.6,26.9 ± 18.1,3079.2 ± 116.3,2.2197 ± 0.0708,6.3454 ± 0.2000,23.60 ± 3.84,6686 ± 356,155.5 ± 8.3,34.37 ± 0.57,2.16 ± 0.02,0.17 ± 0.01,79.84 ± 4.61,0.26 ± 0.13,3.5 ± 0.7,15.24 ± 1.83,26.39 ± 3.12
DONGCHEN06 BASELINE,1700,5,20,2452.9 ± 73.2,272.6 ± 8.1,7.73 ± 0.50,86.20 ± 5.88,0.02 ± 0.05,172.4 ± 21.2,489.2 ± 45.2,1956.9 ± 137.1,1.0856 ± 0.0557,1.7718 ± 0.0931,28.49 ± 1.35,7599 ± 261,348.2 ± 15.9,35.65 ± 0.49,1.71 ± 0.05,0.21 ± 0.01,37.61 ± 4.87,9.88 ± 1.61,32.1 ± 4.8,60.37 ± 5.86,123.34 ± 9.63
DONGCHEN06 BASELINE,1700,10,20,2278.3 ± 73.8,253.2 ± 8.2,6.94 ± 0.37,89.00 ± 3.88,0.07 ± 0.08,174.4 ± 20.4,467.7 ± 41.7,2395.6 ± 208.5,1.0144 ± 0.0437,1.9022 ± 0.1105,25.17 ± 1.23,14083 ± 441,339.1 ± 12.5,33.08 ± 0.93,1.35 ± 0.04,0.32 ± 0.01,36.94 ± 4.41,11.00 ± 1.50,37.8 ± 3.9,62.99 ± 3.84,133.01 ± 7.06
DONGCHEN06 BASELINE,1700,20,20,2237.8 ± 104.0,248.7 ± 11.6,6.68 ± 0.52,91.85 ± 4.51,0.00 ± 0.00,203.2 ± 24.6,496.2 ± 52.1,2601.9 ± 212.6,0.9927 ± 0.0524,1.8914 ± 0.0921,24.15 ± 1.30,26847 ± 752,326.8 ± 11.6,31.59 ± 1.14,1.10 ± 0.03,0.53 ± 0.02,35.45 ± 4.36,14.24 ± 1.91,40.8 ± 4.9,65.47 ± 4.65,135.86 ± 11.89
RULE-CAV,800,5,20,1730.2 ± 9.1,192.2 ± 1.0,22.07 ± 0.62,35.98 ± 1.11,0.00 ± 0.00,6.6 ± 3.4,11.8 ± 4.3,702.5 ± 142.2,1.6400 ± 0.0988,1.7681 ± 0.2811,21.37 ± 3.67,254 ± 43,23.1 ± 3.9,4.42 ± 0.76,4.30 ± 0.06,1.72 ± 0.19,77.34 ± 4.46,0.30 ± 0.32,0.3 ± 0.3,11.37 ± 1.07,22.76 ± 2.08
RULE-CAV,800,10,20,1706.0 ± 12.8,189.6 ± 1.4,19.84 ± 0.47,39.99 ± 1.15,0.00 ± 0.00,7.0 ± 3.6,16.6 ± 7.9,1199.4 ± 127.4,1.8610 ± 0.0714,2.5649 ± 0.2127,18.49 ± 2.41,532 ± 50,24.2 ± 2.3,4.68 ± 0.40,4.19 ± 0.07,1.75 ± 0.07,72.97 ± 3.56,0.25 ± 0.19,0.2 ± 0.2,14.76 ± 1.15,26.69 ± 2.07
RULE-CAV,800,20,20,1674.5 ± 10.3,186.1 ± 1.1,17.63 ± 0.23,44.90 ± 0.75,0.00 ± 0.00,7.6 ± 3.1,20.6 ± 5.7,1769.7 ± 160.6,2.0286 ± 0.0713,3.2396 ± 0.2551,19.22 ± 2.14,1095 ± 61,25.5 ± 1.4,5.04 ± 0.26,4.18 ± 0.04,1.78 ± 0.07,74.22 ± 4.09,0.50 ± 0.33,0.5 ± 0.3,18.97 ± 0.74,28.90 ± 1.22
RULE-CAV,1700,5,20,2674.8 ± 52.8,297.2 ± 5.9,8.31 ± 0.49,80.36 ± 3.55,0.00 ± 0.00,582.5 ± 67.5,1028.7 ± 83.9,1750.2 ± 225.1,1.3813 ± 0.0731,1.3457 ± 0.1121,11.47 ± 1.15,3115 ± 181,136.3 ± 7.9,14.07 ± 1.17,4.12 ± 0.03,0.90 ± 0.08,34.25 ± 3.99,29.85 ± 4.51,29.9 ± 4.5,54.54 ± 3.55,105.86 ± 7.55
